# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,22735.582037,8.689660,1.333500,-15.206040,44.787524,-95.528542,30.163734
pos,22810.596868,9.102580,0.000000,-33.640160,57.878271,-95.721161,30.281740
pos,22853.733021,10.222320,0.903699,14.989985,103.546399,-95.212860,30.693413
pos,22858.456404,9.364430,1.091391,-88.882076,57.658431,-96.297798,30.279758
pos,22868.103652,8.897900,0.688189,-8.830531,94.681490,-95.462494,30.613501
pos,22900.661523,9.089660,0.453649,13.734425,92.838134,-95.226166,30.596884
pos,22978.239549,9.113730,0.211189,-78.024732,52.145713,-96.184052,30.230064
pos,23103.131179,9.352970,1.555790,-8.760772,46.625167,-95.461357,30.180300
pos,23119.307347,8.670550,1.142970,-11.815346,50.655075,-95.493256,30.216627
pos,23145.831474,11.093710,0.435440,38.135781,125.517924,-94.969398,30.891474
pos,23185.199026,11.164910,0.390600,28.400919,124.850575,-95.071678,30.885458
pos,23196.863678,10.077830,1.041760,18.344619,94.028741,-95.177864,30.607616
pos,23249.005712,10.460750,0.309390,21.641253,103.898905,-95.143127,30.696590
pos,23322.138054,9.380100,0.275801,-69.490717,42.866092,-96.094398,30.146414
pos,23347.467995,9.718810,1.457561,20.726054,94.688473,-95.152908,30.613564
pos,23387.360400,9.281330,1.176750,-7.658176,51.886306,-95.449898,30.227726
pos,23501.724658,9.010740,1.479060,21.961031,110.843016,-95.139626,30.759188
pos,23698.394822,10.474800,0.874480,-22.965284,63.983647,-95.609863,30.336777
pos,23702.915000,7.947980,1.135660,-58.565389,70.831909,-95.982079,30.398510
pos,23733.866695,10.760120,1.018880,-21.820639,68.346806,-95.598000,30.376108
pos,23736.234193,8.848110,0.543380,-76.055804,49.997035,-96.163353,30.210695
